tweet_id,created_at,username,text,likes,retweets,search_term,views,comments,is_parody 
131,2026-07-10,Demoz5665,Manzambi ister @abdullahkavukcu,0.0,0.0,#Galatasaray,74.0,0.0,0.0
132,2026-07-10,batuhann86_,#DursunÖzbekParalarNerede #DursunÖzbekIstifa #HainsinDursunÖzbek,0.0,0.0,#Galatasaray,3.0,0.0,0.0
133,2026-07-10,Oluwartimileyin,Where is Osimhen?,0.0,0.0,#Galatasaray,8.0,0.0,0.0
134,2026-07-10,murdamontan1905,Yönetim istifa,0.0,0.0,#Galatasaray,2.0,0.0,0.0
135,2026-07-10,umitdurmaz9463,#DursunÖzbekTransferlerNerede,0.0,0.0,#Galatasaray,8.0,0.0,0.0
136,2026-07-10,gabr1eisara,Transferler nerede ?,0.0,0.0,#Galatasaray,4.0,0.0,0.0
137,2026-07-10,fey63097,Transfer yapın bu takıma,0.0,0.0,#Galatasaray,37.0,0.0,0.0
138,2026-07-10,yaganenes34,Transfer yapın boş yapmayın @GalatasaraySK,1.0,0.0,#Galatasaray,39.0,0.0,0.0
139,2026-07-10,bshn_997,Yönetim istifa,0.0,0.0,#Galatasaray,5.0,0.0,0.0
140,2026-07-10,tolgastınson,la sus transfer yap bekliyoz bak uğuçukvu,1.0,0.0,#Galatasaray,63.0,0.0,0.0
141,2026-07-10,Nicoloocoo0o,Rejindersi istiyoruz,0.0,0.0,#Galatasaray,16.0,0.0,0.0
142,2026-07-10,Glitsray34,Transfer?,0.0,0.0,#Galatasaray,18.0,0.0,1.0
143,2026-07-10,CiftinSepeti,Günaydın dostlar TRANSFER LAZIM @GalatasaraySK,2.0,0.0,#Galatasaray,59.0,0.0,0.0
144,2026-07-10,danak0089yen33,"Rakip greenwood alıyor, biz uçoku. Vizyonunuzun mk",0.0,0.0,#Galatasaray,109.0,0.0,0.0
145,2026-07-10,turkiyevatandir,TRANSFER YAP TARAFTARI DELİRTME,0.0,0.0,#Galatasaray,19.0,0.0,0.0
146,2026-07-10,OMERGVEN1905,Ukochukwu Açıkla,0.0,0.0,#Galatasaray,13.0,0.0,0.0
147,2026-07-10,pashaborsa,Ya elit alın ya almayın!!!!,0.0,0.0,#Galatasaray,13.0,0.0,0.0
148,2026-07-10,pashaborsa,Oynatmayacağınız oyuncuyu almayın NHAGA daha iyi!,0.0,0.0,#Galatasaray,15.0,0.0,0.0
149,2026-07-10,Proferx4os,Boş yapma transfer yap,0.0,0.0,#Galatasaray,4.0,0.0,0.0
150,2026-07-10,nesli_07,Bu transferi istemiyoruz. Bunu alıp ne kadar paralar vereceksiniz transfer yapmayın futbol aklınız vasat oyuncuya çok para verip almak mı? @GalatasaraySK @okanburuk @marufgunes1905,1.0,0.0,#Galatasaray,39.0,0.0,0.0
151,2026-07-10,IsmailYazar2108,Günaydın bizi bu uğrunuza muhtaç edip hiçbir şey beceremeyen @TFF.Org ile ilişkileri askıya alıp fikstür çekimine vasıfsız adam yollamaya mecbur edip her dönem gazeteciler üzerinden haberi giren yönetime muhtaç eden 10000 üye nasıl bey adaletiniz ödüyormu,3.0,0.0,#Galatasaray,37.0,0.0,0.0
152,2026-07-10,EmerUgur,Günaydın 4 gözle transfer bekliyoruz,0.0,0.0,#Galatasaray,9.0,0.0,0.0
153,2026-07-10,Aqtyhm,Transfer açıklayın,0.0,0.0,#Galatasaray,8.0,0.0,0.0
154,2026-07-10,MehmetTurk38164,Ritim kaçıyor rejinders çek,0.0,0.0,#Galatasaray,31.0,0.0,0.0
155,2026-07-10,TuranSavunma,Transferler Nerede ???,0.0,0.0,#Galatasaray,5.0,0.0,0.0
156,2026-07-10,_denizcimbom,Bu oyuncuya çöp diyorlar carlos baleba alın @GalatasaraySK,0.0,0.0,#Galatasaray,7.0,0.0,1.0
157,2026-07-09,SaltFutbol90,Elias Jelert'in #Galatasaray'dan ayrılma ihtimali oldukça yüksek. [Ertan Süzgün],58.0,1.0,#Galatasaray,2997.0,2.0,0.0
158,2026-07-10,YlmazSoyer1,Bir son dakikada benden; Galatasaray bu sene büyük ihtimalle sarı kırmızı renkleri kullanacak!,0.0,0.0,#Galatasaray,25.0,0.0,0.0
159,2026-07-10,SuleymanRobot,e zaten,0.0,0.0,#Galatasaray,5.0,0.0,0.0
